lap_var,actual,phone,width
392.94030557052946,Not,Samsung,4128
9686.410835946595,Not,Samsung,400
4152.390796864581,Not,Samsung,1600
98.08939235158724,Blurry,Samsung,4128
2502.0119812660414,Blurry,Samsung,400
657.7040286346538,Blurry,Samsung,1600
30.846799225378664,Blurry,Samsung,4128
861.1254463732638,Blurry,Samsung,400
99.65012125421858,Blurry,Samsung,1600
32.048011827933905,Blurry,Samsung,4128
899.6489896832637,Blurry,Samsung,400
106.09117548664679,Blurry,Samsung,1600
414.79394712450045,Not,Samsung,4128
10509.544935121598,Not,Samsung,400
4538.027657746035,Not,Samsung,1600
152.26686048660193,Blurry,Samsung,4128
4304.381986007708,Blurry,Samsung,400
1314.1618827644206,Blurry,Samsung,1600
57.42149847297432,Blurry,Samsung,4128
1842.8115783775002,Blurry,Samsung,400
280.9160098435545,Blurry,Samsung,1600
28.890386659297725,Blurry,Samsung,4128
809.3731591955557,Blurry,Samsung,400
90.88596041642258,Blurry,Samsung,1600
477.00731561620404,Not,Samsung,4128
10858.718295623265,Not,Samsung,400
5062.177537368272,Not,Samsung,1600
55.011881481346805,Blurry,Samsung,4128
1470.037328226667,Blurry,Samsung,400
280.7791538584103,Blurry,Samsung,1600
33.81085620033768,Blurry,Samsung,4128
958.4295268132638,Blurry,Samsung,400
118.17487241345373,Blurry,Samsung,1600
24.995117217061523,Blurry,Samsung,4128
558.4248761322222,Blurry,Samsung,400
73.80983001326386,Blurry,Samsung,1600
391.2789115488488,Not,Samsung,4128
9847.288779723334,Not,Samsung,400
4247.234137496348,Not,Samsung,1600
142.78009525082265,Blurry,Samsung,4128
3465.7265831110417,Blurry,Samsung,400
1138.5815552057284,Blurry,Samsung,1600
48.29079156431816,Blurry,Samsung,4128
1602.5754827197222,Blurry,Samsung,400
215.85964322906875,Blurry,Samsung,1600
31.2341160071314,Blurry,Samsung,4128
891.2057505399304,Blurry,Samsung,400
103.87594785926646,Blurry,Samsung,1600
562.2821616666513,Not,Samsung,4128
11531.397099710834,Not,Samsung,400
5596.392523811649,Not,Samsung,1600
115.70046011317122,Blurry,Samsung,4128
3016.922244555555,Blurry,Samsung,400
853.791635352066,Blurry,Samsung,1600
41.50799164367848,Blurry,Samsung,4128
1432.1595093315968,Blurry,Samsung,400
172.99699995051634,Blurry,Samsung,1600
29.10443692973501,Blurry,Samsung,4128
853.4507254843751,Blurry,Samsung,400
95.11948135871724,Blurry,Samsung,1600
256.11665068011933,Not,Samsung,4128
6366.9667816863885,Not,Samsung,400
2437.941969709609,Not,Samsung,1600
151.2659879348008,Blurry,Samsung,4128
4708.329905241598,Blurry,Samsung,400
1430.39790358718,Blurry,Samsung,1600
28.88664485973665,Blurry,Samsung,4128
832.2928999197221,Blurry,Samsung,400
89.2902572499826,Blurry,Samsung,1600
20.01379519134237,Blurry,Samsung,4128
455.1644827955555,Blurry,Samsung,400
46.62687128165991,Blurry,Samsung,1600
450.6586316270059,Not,Samsung,4128
8981.389731972224,Not,Samsung,400
4168.472789562972,Not,Samsung,1600
199.89255830806962,Blurry,Samsung,4128
5850.659379595554,Blurry,Samsung,400
2073.524897892576,Blurry,Samsung,1600
29.356831666560762,Blurry,Samsung,4128
804.4275853749306,Blurry,Samsung,400
90.85566145402667,Blurry,Samsung,1600
20.98562914591855,Blurry,Samsung,4128
458.5561875549306,Blurry,Samsung,400
49.98279530770151,Blurry,Samsung,1600
27.465628464357053,Not,Samsung,4128
720.6622498263889,Not,Samsung,400
88.02791512621096,Not,Samsung,1600
228.36518315394957,Blurry,Samsung,4128
6461.136634993056,Blurry,Samsung,400
2497.6036970414366,Blurry,Samsung,1600
28.564634471881572,Blurry,Samsung,4128
776.2767319882639,Blurry,Samsung,400
86.4019789860416,Blurry,Samsung,1600
20.296053733046175,Blurry,Samsung,4128
433.15198363826397,Blurry,Samsung,400
47.682081082412104,Blurry,Samsung,1600
475.10078283736806,Not,Samsung,4128
8663.573355219723,Not,Samsung,400
4302.911687887532,Not,Samsung,1600
85.79273195917604,Blurry,Samsung,4128
2045.2541949499307,Blurry,Samsung,400
618.8294692218358,Blurry,Samsung,1600
